RQ0-2-3-raw-data (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participant-id,years-of-experience,role-in-code-review,current-role,programming-language,project,injected-issues,automatically-identified-issues,treatment,total-issues-reported,injected-issues-identified,% injected-issues-identified,automatic-issues-kept,additional-issues (non injected),additional-issues-objectively-wrong,number-of-comments,number-of-sentences,number-of-words,total-time,time-on-code-to-review,time-writing-code-review,confidence,automatically-identified-injected-issues,code_lines_commented,doc_lines_commented,empty_lines_commented,total_lines,code_lines,doc_lines,empty_lines,total-coverage,code-coverage,doc-coverage,manually-identified-issues,% manual issues
dev1,15,Contributor&Reviewer,Software Engineer,Java,maze-generator,1,NA,MCR,18,1,1,0,17,0,17,29,276,1847,1847,676,4,NA,26,1,0,164,94,52,18,0.16,0.28,0.02,18,1
dev1,15,Contributor&Reviewer,Software Engineer,Java,tic-tac-toe,2,12,ACR,23,0,0,12,23,0,23,48,599,1396,1348,500,3,1,29,0,0,326,255,36,35,0.09,0.11,0,11,0.478260869565217
dev1,15,Contributor&Reviewer,Software Engineer,Java,todo-list,3,NA,CCR,11,3,1,3,8,0,12,16,283,2149,1848,496,4,NA,11,0,0,206,141,47,18,0.05,0.08,0,8,0.727272727272727
dev10,8,Contributor&Reviewer,Software Engineer,Python,todo-list,3,NA,CCR,6,3,1,3,3,0,9,19,425,3866,3295,119,2,,15,0,0,198,109,65,24,0.08,0.14,0,3,0.5
dev10,8,Contributor&Reviewer,Software Engineer,Python,stopwatch,4,NA,MCR,11,2,0.5,0,9,0,32,67,1208,2620,2566,1208,3,,50,56,24,258,101,110,47,0.5,0.5,0.51,11,1
dev11,10,Contributor&Reviewer,Software Engineer,Java,tic-tac-toe,2,NA,MCR,9,1,0.5,0,9,0,11,29,457,2251,2146,612,5,NA,86,0,9,326,255,36,35,0.29,0.34,0,9,1
dev11,10,Contributor&Reviewer,Software Engineer,Java,todo-list,3,9,ACR,24,3,1,9,21,0,21,45,717,5324,5260,3648,4,1,70,0,1,206,141,47,18,0.34,0.5,0,15,0.625
dev11,10,Contributor&Reviewer,Software Engineer,Java,word-utils,6,NA,CCR,12,6,1,6,6,0,9,11,132,5574,5308,982,3,NA,37,2,1,509,195,286,28,0.08,0.19,0.01,6,0.5
dev12,9,Contributor,Software Engineer,Python,tic-tac-toe,7,11,ACR,10,3,0.428571428571429,9,7,0,9,25,348,NA,NA,NA,3,3,15,0,0,121,65,38,18,0.12,0.23,0,1,0.1
dev12,9,Contributor,Software Engineer,Python,number-conversion,2,NA,MCR,1,1,0.5,0,0,0,1,1,5,NA,NA,NA,3,,1,0,0,81,61,7,13,0.01,0.02,0,1,1
